Group,Median of Age,Mean of Age,Std of Age,Median of Matches Played,Mean of Matches Played,Std of Matches Played,Median of Starts,Mean of Starts,Std of Starts,Median of Minutes,Mean of Minutes,Std of Minutes,Median of Gls,Mean of Gls,Std of Gls,Median of Ast,Mean of Ast,Std of Ast,Median of crdY,Mean of crdY,Std of crdY,Median of crdR,Mean of crdR,Std of crdR,Median of xG,Mean of xG,Std of xG,Median of xAG,Mean of xAG,Std of xAG,Median of PrgC,Mean of PrgC,Std of PrgC,Median of PrgP,Mean of PrgP,Std of PrgP,Median of PrgR,Mean of PrgR,Std of PrgR,Median of Gls per 90,Mean of Gls per 90,Std of Gls per 90,Median of Ast per 90,Mean of Ast per 90,Std of Ast per 90,Median of xG per 90,Mean of xG per 90,Std of xG per 90,Median of xAG per 90,Mean of xAG per 90,Std of xAG per 90,Median of GA90,Mean of GA90,Std of GA90,Median of Save%,Mean of Save%,Std of Save%,Median of CS%,Mean of CS%,Std of CS%,Median of PK Save%,Mean of PK Save%,Std of PK Save%,Median of SoT%,Mean of SoT%,Std of SoT%,Median of SoT per 90,Mean of SoT per 90,Std of SoT per 90,Median of G per Sh,Mean of G per Sh,Std of G per Sh,Median of Dist,Mean of Dist,Std of Dist,Median of Cmp,Mean of Cmp,Std of Cmp,Median of Cmp%,Mean of Cmp%,Std of Cmp%,Median of TotDist,Mean of TotDist,Std of TotDist,Median of ShortCmp%,Mean of ShortCmp%,Std of ShortCmp%,Median of MedCmp%,Mean of MedCmp%,Std of MedCmp%,Median of LongCmp%,Mean of LongCmp%,Std of LongCmp%,Median of KP,Mean of KP,Std of KP,Median of Pass into 1_3,Mean of Pass into 1_3,Std of Pass into 1_3,Median of PPA,Mean of PPA,Std of PPA,Median of CrsPA,Mean of CrsPA,Std of CrsPA,Median of SCA,Mean of SCA,Std of SCA,Median of SCA90,Mean of SCA90,Std of SCA90,Median of GCA,Mean of GCA,Std of GCA,Median of GCA90,Mean of GCA90,Std of GCA90,Median of Tkl,Mean of Tkl,Std of Tkl,Median of TklW,Mean of TklW,Std of TklW,Median of Deff Att,Mean of Deff Att,Std of Deff Att,Median of Lost,Mean of Lost,Std of Lost,Median of Blocks,Mean of Blocks,Std of Blocks,Median of Sh,Mean of Sh,Std of Sh,Median of Pass,Mean of Pass,Std of Pass,Median of Int,Mean of Int,Std of Int,Median of Touches,Mean of Touches,Std of Touches,Median of Def Pen,Mean of Def Pen,Std of Def Pen,Median of Def 3rd,Mean of Def 3rd,Std of Def 3rd,Median of Mid 3rd,Mean of Mid 3rd,Std of Mid 3rd,Median of Att 3rd,Mean of Att 3rd,Std of Att 3rd,Median of Att Pen,Mean of Att Pen,Std of Att Pen,Median of Take-Ons Att,Mean of Take-Ons Att,Std of Take-Ons Att,Median of Succ%,Mean of Succ%,Std of Succ%,Median of Tkld%,Mean of Tkld%,Std of Tkld%,Median of Carries,Mean of Carries,Std of Carries,Median of ProDist,Mean of ProDist,Std of ProDist,Median of Carries 1_3,Mean of Carries 1_3,Std of Carries 1_3,Median of CPA,Mean of CPA,Std of CPA,Median of Mis,Mean of Mis,Std of Mis,Median of Dis,Mean of Dis,Std of Dis,Median of Rec,Mean of Rec,Std of Rec,Median of Rec PrgR,Mean of Rec PrgR,Std of Rec PrgR,Median of Fls,Mean of Fls,Std of Fls,Median of Fld,Mean of Fld,Std of Fld,Median of Off,Mean of Off,Std of Off,Median of Crs,Mean of Crs,Std of Crs,Median of Recov,Mean of Recov,Std of Recov,Median of Aerl Won,Mean of Aerl Won,Std of Aerl Won,Median of Aerl Lost,Mean of Aerl Lost,Std of Aerl Lost,Median of Aerl Won%,Mean of Aerl Won%,Std of Aerl Won%
all,26.58,26.90,4.26,23.00,21.40,9.97,15.00,15.75,10.96,1364.00,1411.38,928.20,1.00,2.05,3.58,1.00,1.53,2.24,2.00,3.02,2.65,0.00,0.09,0.31,0.80,2.07,3.15,0.90,1.53,1.91,15.00,26.64,31.30,39.00,52.61,50.82,25.00,52.06,65.32,0.03,0.12,0.18,0.04,0.09,0.12,0.07,0.13,0.16,0.07,0.10,0.10,1.48,1.69,0.74,68.15,66.30,9.70,17.90,23.53,22.36,0.00,17.85,29.40,30.00,29.33,19.99,0.22,0.39,0.45,0.06,0.08,0.10,16.30,16.71,5.06,472.00,566.02,465.68,80.20,79.25,8.30,7621.00,9720.20,8404.86,89.90,88.74,6.82,85.70,84.00,10.16,53.75,54.44,15.70,8.00,13.96,15.65,29.00,44.07,45.37,7.00,11.87,14.69,1.00,2.83,4.41,21.00,32.61,32.84,1.79,2.06,1.41,2.00,3.57,4.28,0.15,0.21,0.22,18.00,25.22,22.98,11.00,15.08,14.10,17.00,23.00,20.71,8.00,11.29,10.57,12.00,15.62,13.91,3.00,5.28,7.38,8.00,10.34,9.53,7.00,11.41,11.92,764.00,855.78,630.75,32.00,96.94,179.48,161.00,283.23,311.57,281.00,364.06,320.52,144.00,216.90,213.77,21.00,35.35,41.91,14.00,25.99,31.83,45.00,46.53,22.48,43.80,42.50,21.44,408.00,479.33,363.50,1052.00,1331.49,1112.61,13.00,17.92,18.56,2.00,8.29,14.58,13.00,19.45,19.80,8.00,13.45,15.00,493.00,559.77,426.22,25.00,52.06,65.32,12.00,15.85,14.03,10.00,15.32,14.96,1.00,2.44,4.04,9.00,25.02,36.58,46.00,59.43,47.11,10.00,18.49,21.68,13.00,18.48,18.79,50.00,48.80,21.53
West Ham,28.34,28.62,5.01,20.00,21.56,8.53,14.00,15.40,10.86,1070.00,1381.52,914.39,0.00,1.48,2.60,1.00,0.96,1.51,2.00,2.96,2.65,0.00,0.12,0.33,1.20,1.78,2.25,1.10,1.26,1.40,11.00,22.92,30.37,31.00,45.00,41.31,25.00,44.64,57.79,0.00,0.08,0.13,0.03,0.07,0.14,0.07,0.14,0.16,0.08,0.10,0.10,1.69,1.69,0.01,68.75,68.75,8.27,17.05,17.05,0.49,0.00,0.00,N/A,26.90,23.79,13.97,0.23,0.38,0.41,0.00,0.05,0.06,16.70,17.79,5.59,517.00,533.44,408.44,79.90,78.42,7.80,8610.00,9381.76,7369.59,89.70,88.68,6.97,85.60,83.25,10.62,53.70,54.14,15.91,9.00,12.20,12.38,37.00,39.32,33.53,4.00,10.00,12.70,1.00,2.60,3.58,19.00,30.16,30.76,2.31,2.19,1.48,1.00,2.28,3.20,0.10,0.13,0.17,17.00,23.60,20.82,11.00,14.00,12.33,21.00,19.68,15.69,8.00,9.24,7.74,14.00,16.64,13.41,4.00,6.28,8.23,9.00,10.36,8.04,8.00,12.24,14.77,668.00,830.56,599.24,39.00,107.88,177.89,196.00,304.12,314.95,366.00,355.88,288.75,118.00,178.52,184.73,23.00,30.88,38.86,11.00,28.80,45.47,47.60,49.40,20.51,45.70,38.79,21.00,321.00,421.80,318.09,714.00,1077.40,937.07,10.00,14.56,16.62,2.00,6.48,13.17,12.00,18.28,19.69,6.00,14.68,22.25,459.00,529.56,390.62,25.00,44.64,57.79,15.00,16.28,14.26,11.00,15.12,17.68,1.00,2.80,4.28,13.00,22.40,27.52,43.00,57.16,47.97,10.00,21.68,27.43,12.00,20.84,19.48,50.00,51.14,16.74
Southampton,26.98,26.98,4.23,20.00,18.66,10.38,13.00,13.24,9.84,1178.00,1184.31,856.24,0.00,0.83,1.07,0.00,0.52,0.83,2.00,2.86,2.95,0.00,0.10,0.41,0.50,1.07,1.39,0.50,0.81,0.92,10.00,20.62,26.91,24.00,36.45,39.46,20.00,35.34,38.71,0.00,0.05,0.08,0.00,0.04,0.10,0.04,0.08,0.09,0.03,0.05,0.06,2.33,2.41,0.17,67.10,67.47,2.67,0.00,2.47,4.27,14.30,14.30,20.22,30.00,25.89,22.61,0.14,0.22,0.29,0.05,0.07,0.10,18.10,17.31,6.09,257.00,499.79,481.21,80.20,80.85,8.16,4218.00,8476.62,8576.58,90.90,89.60,7.08,89.50,85.36,10.85,55.25,53.70,17.13,5.00,8.83,9.45,13.00,32.24,39.48,5.00,7.00,7.76,1.00,1.86,2.60,15.00,20.03,20.13,1.37,1.41,0.85,1.00,1.38,1.88,0.06,0.11,0.14,13.00,20.41,19.73,7.00,11.83,11.31,13.00,18.24,14.50,10.00,9.38,7.02,8.00,13.38,14.92,2.00,5.90,9.14,5.00,7.48,8.00,5.00,9.62,12.26,457.00,726.79,636.27,42.00,93.66,170.64,161.00,265.34,322.23,198.00,313.41,308.40,131.00,154.34,149.29,15.00,21.86,20.86,6.00,22.83,32.38,43.35,47.38,27.49,44.95,42.89,27.79,253.00,406.90,363.25,599.00,1101.34,1119.56,9.00,15.24,18.80,1.00,5.10,7.59,10.00,14.93,15.03,5.00,11.14,13.77,349.00,494.34,436.35,20.00,35.34,38.71,12.00,14.76,13.43,8.00,13.66,15.76,0.00,1.52,2.63,6.00,17.62,26.86,23.00,46.00,44.26,8.00,14.62,20.92,8.00,12.66,13.74,54.50,54.45,22.80
Everton,27.13,28.24,5.00,25.00,22.90,9.21,15.00,18.05,10.53,1391.00,1612.14,898.75,1.00,1.52,2.18,1.00,0.95,1.12,3.00,3.38,2.22,0.00,0.10,0.30,1.10,1.72,2.07,0.80,1.29,1.13,12.00,20.57,20.97,43.00,43.81,36.24,24.00,43.76,41.55,0.03,0.09,0.13,0.03,0.06,0.09,0.05,0.11,0.12,0.05,0.07,0.06,1.23,1.23,N/A,71.10,71.10,N/A,28.60,28.60,N/A,100.00,100.00,N/A,35.95,32.60,23.76,0.19,0.34,0.37,0.05,0.08,0.11,17.05,17.12,5.42,437.00,487.29,341.27,73.90,74.37,8.03,7795.00,9209.90,7883.12,86.70,85.33,7.70,83.10,79.92,12.21,55.30,57.29,15.33,8.00,12.38,10.03,38.00,43.14,35.29,8.00,10.52,10.34,1.00,3.86,5.49,25.00,29.57,19.82,1.72,1.78,0.99,2.00,2.48,2.11,0.10,0.16,0.15,28.00,31.81,28.57,16.00,18.67,17.23,24.00,28.19,22.66,9.00,13.57,11.52,15.00,16.86,14.50,3.00,6.10,9.55,8.00,10.76,8.71,10.00,14.33,13.18,805.00,832.33,510.74,31.00,105.86,222.23,196.00,300.10,365.35,305.00,336.71,237.45,204.00,204.14,147.27,20.00,30.81,26.45,20.00,27.57,30.57,46.60,46.41,18.63,45.75,46.05,18.74,399.00,406.67,248.01,780.00,1076.67,831.53,10.00,15.14,11.82,2.00,5.24,7.24,13.00,22.10,20.66,12.00,16.57,14.56,451.00,481.38,275.60,24.00,43.76,41.55,15.00,18.71,13.77,14.00,15.95,12.82,1.00,3.62,6.44,7.00,29.62,37.39,61.00,65.10,47.56,11.00,26.10,29.85,15.00,24.33,23.90,50.00,47.48,19.12
Manchester City,26.69,27.00,4.91,23.00,19.88,8.97,17.00,15.36,8.63,1494.00,1381.36,766.28,1.00,2.64,4.41,0.00,1.92,2.56,2.00,2.32,1.75,0.00,0.04,0.20,1.30,2.52,4.18,1.50,2.03,2.25,35.00,41.64,45.44,64.00,70.28,60.42,26.00,69.60,78.22,0.06,0.18,0.25,0.00,0.10,0.14,0.07,0.16,0.22,0.07,0.12,0.12,1.29,1.29,0.26,68.25,68.25,0.35,29.90,29.90,6.93,0.00,0.00,0.00,32.05,31.45,21.18,0.33,0.46,0.51,0.11,0.13,0.21,17.85,17.03,4.84,676.00,793.52,591.90,87.70,86.50,6.96,10078.00,12871.28,9746.23,94.40,92.13,6.13,91.90,89.52,7.83,64.30,59.78,12.41,9.00,17.24,16.85,42.00,62.00,64.95,11.00,15.88,16.20,1.00,2.32,3.17,33.00,39.76,33.94,2.08,2.38,1.75,3.00,4.64,4.55,0.26,0.28,0.24,15.00,18.44,17.06,7.00,11.20,10.89,13.00,16.88,15.74,6.00,8.84,8.55,11.00,12.44,9.60,1.00,3.28,4.82,9.00,9.16,7.10,5.00,8.20,8.58,892.00,1033.80,699.04,39.00,78.52,139.29,197.00,241.56,242.91,331.00,447.28,395.87,324.00,353.40,278.86,22.00,48.52,51.76,21.00,29.68,41.02,45.70,47.90,26.41,36.10,37.56,23.66,590.00,664.68,466.35,1714.00,2051.96,1583.71,23.00,31.16,27.55,3.00,14.48,23.37,14.00,17.40,15.12,13.00,14.88,14.51,630.00,783.04,543.80,26.00,69.60,78.22,11.00,10.64,8.18,12.00,13.88,11.47,0.00,1.68,2.46,8.00,23.60,32.25,46.00,53.00,35.29,5.00,11.12,13.49,8.00,11.96,11.12,47.30,45.18,20.94
Leicester City,26.57,26.96,4.35,21.00,19.96,9.82,14.00,14.76,10.17,1391.00,1325.36,841.27,0.00,0.96,1.88,0.00,0.88,1.20,2.00,3.04,2.67,0.00,0.00,0.00,0.40,1.11,2.18,0.40,0.92,1.16,14.00,20.20,23.04,30.00,38.92,35.68,19.00,36.72,40.69,0.00,0.05,0.08,0.00,0.06,0.09,0.04,0.06,0.08,0.02,0.07,0.08,2.19,2.63,1.21,61.30,55.27,13.32,3.70,6.00,7.42,25.00,25.00,N/A,36.40,34.51,23.49,0.20,0.27,0.27,0.00,0.05,0.07,16.80,17.76,5.95,430.00,505.56,378.14,77.80,78.32,8.50,6775.00,8504.08,6546.48,89.60,88.87,7.11,83.70,84.82,8.99,53.70,55.70,17.80,6.00,8.84,9.47,27.00,35.32,32.26,5.00,7.52,8.57,1.00,2.28,3.98,14.00,20.32,18.98,1.27,1.33,0.99,1.00,1.92,2.41,0.10,0.12,0.15,21.00,25.92,22.76,11.00,15.16,13.80,18.00,24.88,22.13,10.00,12.80,12.11,17.00,17.80,14.29,4.00,7.04,8.25,8.00,10.76,8.77,9.00,11.76,12.15,804.00,779.16,534.03,39.00,104.80,170.09,166.00,291.76,287.82,324.00,353.52,284.15,99.00,140.72,134.81,15.00,21.36,24.52,11.00,21.44,26.57,42.00,43.76,28.80,47.60,48.20,26.02,465.00,441.52,292.50,1055.00,1089.68,763.29,7.00,12.48,12.15,2.00,4.88,6.35,13.00,15.88,14.37,8.00,10.72,12.48,483.00,496.12,336.62,19.00,36.72,40.69,12.00,13.88,10.69,11.00,12.08,9.79,1.00,2.12,4.95,8.00,21.24,27.63,40.00,51.64,37.85,11.00,17.32,17.03,15.00,18.68,16.80,50.00,49.70,20.04
Bournemouth,26.00,26.47,3.84,26.00,22.22,10.18,17.00,16.70,11.63,1670.00,1494.61,1004.39,1.00,2.35,3.59,1.00,1.70,2.05,3.00,3.87,3.08,0.00,0.09,0.29,1.10,2.68,3.58,1.10,1.81,1.87,19.00,29.87,34.65,43.00,58.48,52.05,31.00,57.65,71.61,0.03,0.14,0.18,0.04,0.10,0.11,0.08,0.18,0.20,0.10,0.13,0.15,1.00,1.08,0.14,80.00,80.00,4.60,20.00,15.00,13.23,0.00,0.00,N/A,29.70,25.02,16.67,0.15,0.54,0.65,0.07,0.06,0.06,16.45,15.80,4.38,436.00,504.78,408.76,74.30,73.93,6.58,7088.00,9147.96,7897.39,88.00,86.84,7.09,78.30,81.62,10.80,47.80,46.66,17.89,11.00,17.78,16.56,37.00,48.22,47.73,7.00,13.22,13.87,2.00,4.04,5.53,28.00,40.78,36.35,2.35,2.57,1.87,2.00,3.96,4.19,0.21,0.23,0.21,21.00,27.96,23.43,10.00,16.13,14.51,25.00,25.61,21.31,13.00,13.57,10.71,16.00,18.83,16.69,3.00,5.74,7.26,8.00,13.09,12.64,10.00,14.39,15.62,783.00,852.48,626.55,44.00,90.26,153.47,159.00,257.30,280.45,316.00,365.96,322.88,133.00,239.74,238.20,19.00,39.52,48.08,16.00,27.09,32.49,41.15,43.23,19.23,45.10,42.83,19.17,483.00,458.35,342.50,1183.00,1442.09,1300.40,17.00,21.09,20.43,1.00,9.09,16.03,18.00,23.52,21.61,8.00,14.09,17.22,435.00,499.70,370.48,31.00,57.65,71.61,16.00,20.52,17.98,10.00,15.61,13.89,0.00,2.74,5.07,10.00,32.96,41.37,59.00,73.22,57.25,20.00,23.17,21.30,22.00,24.61,20.98,47.00,50.18,18.40
Brighton,24.76,26.43,5.16,22.50,20.08,10.22,13.50,14.65,9.94,1271.50,1307.96,881.65,1.00,2.08,3.08,1.00,1.42,1.63,2.50,2.88,2.58,0.00,0.12,0.33,0.75,2.00,2.73,1.25,1.40,1.42,19.00,27.88,30.62,41.00,53.04,50.65,29.50,52.27,64.15,0.04,0.12,0.14,0.04,0.10,0.13,0.08,0.12,0.12,0.08,0.10,0.08,1.08,1.08,0.83,69.85,69.85,7.28,34.10,34.10,22.49,0.00,0.00,N/A,29.00,29.63,22.28,0.26,0.32,0.31,0.06,0.08,0.09,16.10,17.22,3.88,398.50,551.54,490.93,81.35,80.04,7.94,5888.50,9400.46,9378.91,90.95,89.98,6.08,82.75,81.93,10.74,54.25,56.37,13.56,13.00,12.50,10.20,29.00,41.08,49.65,8.50,11.62,10.59,1.50,3.04,3.90,26.50,31.65,23.68,2.81,2.46,1.23,3.00,3.81,2.95,0.30,0.32,0.27,17.00,24.23,19.61,11.00,14.77,12.03,18.50,24.35,18.59,10.00,12.42,9.13,12.50,15.35,12.25,2.00,4.27,5.57,10.50,11.08,10.04,9.50,11.15,9.88,658.00,824.27,624.90,28.50,91.92,203.56,139.00,265.27,334.11,258.50,358.77,332.91,158.00,209.35,182.26,17.50,36.12,43.25,12.50,27.85,32.67,42.90,45.27,22.04,46.20,46.61,21.26,394.00,484.54,391.42,1142.00,1454.50,1447.02,17.00,19.58,18.93,3.00,8.92,15.50,13.00,19.88,19.55,7.00,11.81,12.79,425.00,543.15,429.86,29.50,52.27,64.15,12.00,15.50,12.50,9.50,14.42,14.84,1.00,1.58,1.86,10.00,23.50,28.56,49.00,56.19,44.41,14.50,18.19,18.93,14.00,16.35,15.18,53.80,50.65,20.51
Crystal Palace,27.19,27.18,3.13,30.00,24.05,10.63,19.00,18.24,12.87,1652.00,1633.05,1082.85,0.00,1.90,3.40,1.00,1.52,2.09,2.00,3.62,3.37,0.00,0.19,0.40,1.10,2.56,3.48,1.50,1.91,2.13,11.00,21.71,22.71,47.00,50.19,39.60,11.00,49.67,64.87,0.00,0.09,0.13,0.03,0.06,0.08,0.08,0.14,0.14,0.11,0.10,0.07,1.37,1.37,N/A,67.10,67.10,N/A,28.60,28.60,N/A,50.00,50.00,N/A,31.60,29.24,17.72,0.34,0.49,0.46,0.00,0.06,0.08,17.70,18.12,5.71,541.00,518.71,394.67,75.60,74.08,6.95,8735.00,9314.81,7637.33,84.30,84.29,6.45,81.10,79.82,10.50,46.70,50.00,18.57,9.00,16.14,16.23,27.00,38.71,32.31,4.00,11.95,12.75,1.00,3.05,4.38,27.00,37.62,35.37,2.00,2.21,1.50,3.00,3.62,3.43,0.15,0.17,0.17,21.00,33.14,29.89,14.00,19.52,18.66,23.00,28.43,22.22,15.00,14.24,9.88,19.00,21.05,18.02,3.00,6.14,6.91,13.00,14.90,12.89,11.00,14.14,14.50,870.00,887.52,625.94,30.00,110.43,217.28,181.00,330.14,366.23,377.00,368.95,273.15,146.00,196.95,187.98,18.00,34.38,36.30,12.00,21.19,29.73,40.30,41.96,23.67,45.75,48.06,26.27,429.00,444.05,314.91,1004.00,1092.24,799.19,10.00,15.38,14.12,1.00,5.24,7.51,16.00,21.67,21.05,13.00,14.62,14.36,532.00,513.95,354.54,11.00,49.67,64.87,12.00,18.05,16.20,19.00,17.95,15.78,1.00,3.19,4.92,11.00,26.90,32.74,64.00,72.81,53.93,17.00,22.38,22.37,19.00,28.19,25.86,43.20,41.12,18.52
