Group,Median of Age,Mean of Age,Std of Age,Median of Matches Played,Mean of Matches Played,Std of Matches Played,Median of Starts,Mean of Starts,Std of Starts,Median of Minutes,Mean of Minutes,Std of Minutes,Median of Gls,Mean of Gls,Std of Gls,Median of Ast,Mean of Ast,Std of Ast,Median of crdY,Mean of crdY,Std of crdY,Median of crdR,Mean of crdR,Std of crdR,Median of xG,Mean of xG,Std of xG,Median of xAG,Mean of xAG,Std of xAG,Median of PrgC,Mean of PrgC,Std of PrgC,Median of PrgP,Mean of PrgP,Std of PrgP,Median of PrgR,Mean of PrgR,Std of PrgR,Median of Gls per 90,Mean of Gls per 90,Std of Gls per 90,Median of Ast per 90,Mean of Ast per 90,Std of Ast per 90,Median of xG per 90,Mean of xG per 90,Std of xG per 90,Median of xAG per 90,Mean of xAG per 90,Std of xAG per 90,Median of GA90,Mean of GA90,Std of GA90,Median of Save%,Mean of Save%,Std of Save%,Median of CS%,Mean of CS%,Std of CS%,Median of PK Save%,Mean of PK Save%,Std of PK Save%,Median of SoT%,Mean of SoT%,Std of SoT%,Median of SoT per 90,Mean of SoT per 90,Std of SoT per 90,Median of G per Sh,Mean of G per Sh,Std of G per Sh,Median of Dist,Mean of Dist,Std of Dist,Median of Cmp,Mean of Cmp,Std of Cmp,Median of Cmp%,Mean of Cmp%,Std of Cmp%,Median of TotDist,Mean of TotDist,Std of TotDist,Median of ShortCmp%,Mean of ShortCmp%,Std of ShortCmp%,Median of MedCmp%,Mean of MedCmp%,Std of MedCmp%,Median of LongCmp%,Mean of LongCmp%,Std of LongCmp%,Median of KP,Mean of KP,Std of KP,Median of Pass into 1_3,Mean of Pass into 1_3,Std of Pass into 1_3,Median of PPA,Mean of PPA,Std of PPA,Median of CrsPA,Mean of CrsPA,Std of CrsPA,Median of SCA,Mean of SCA,Std of SCA,Median of SCA90,Mean of SCA90,Std of SCA90,Median of GCA,Mean of GCA,Std of GCA,Median of GCA90,Mean of GCA90,Std of GCA90,Median of Tkl,Mean of Tkl,Std of Tkl,Median of TklW,Mean of TklW,Std of TklW,Median of Deff Att,Mean of Deff Att,Std of Deff Att,Median of Lost,Mean of Lost,Std of Lost,Median of Blocks,Mean of Blocks,Std of Blocks,Median of Sh,Mean of Sh,Std of Sh,Median of Pass,Mean of Pass,Std of Pass,Median of Int,Mean of Int,Std of Int,Median of Touches,Mean of Touches,Std of Touches,Median of Def Pen,Mean of Def Pen,Std of Def Pen,Median of Def 3rd,Mean of Def 3rd,Std of Def 3rd,Median of Mid 3rd,Mean of Mid 3rd,Std of Mid 3rd,Median of Att 3rd,Mean of Att 3rd,Std of Att 3rd,Median of Att Pen,Mean of Att Pen,Std of Att Pen,Median of Take-Ons Att,Mean of Take-Ons Att,Std of Take-Ons Att,Median of Succ%,Mean of Succ%,Std of Succ%,Median of Tkld%,Mean of Tkld%,Std of Tkld%,Median of Carries,Mean of Carries,Std of Carries,Median of ProDist,Mean of ProDist,Std of ProDist,Median of Carries 1_3,Mean of Carries 1_3,Std of Carries 1_3,Median of CPA,Mean of CPA,Std of CPA,Median of Mis,Mean of Mis,Std of Mis,Median of Dis,Mean of Dis,Std of Dis,Median of Rec,Mean of Rec,Std of Rec,Median of Rec PrgR,Mean of Rec PrgR,Std of Rec PrgR,Median of Fls,Mean of Fls,Std of Fls,Median of Fld,Mean of Fld,Std of Fld,Median of Off,Mean of Off,Std of Off,Median of Crs,Mean of Crs,Std of Crs,Median of Recov,Mean of Recov,Std of Recov,Median of Aerl Won,Mean of Aerl Won,Std of Aerl Won,Median of Aerl Lost,Mean of Aerl Lost,Std of Aerl Lost,Median of Aerl Won%,Mean of Aerl Won%,Std of Aerl Won%
Fulham,28.87,28.99,3.43,28.00,25.10,9.28,17.50,17.65,11.58,1620.50,1585.10,966.69,0.50,2.40,3.38,1.00,2.05,2.65,2.50,3.45,3.07,0.00,0.05,0.22,1.10,2.23,2.80,1.00,1.73,1.95,22.00,33.20,37.67,53.00,64.85,50.78,39.00,67.35,74.10,0.01,0.17,0.25,0.08,0.10,0.12,0.09,0.15,0.16,0.09,0.10,0.08,1.34,1.34,N/A,68.30,68.30,N/A,14.30,14.30,N/A,0.00,0.00,N/A,29.70,28.46,19.05,0.26,0.51,0.58,0.05,0.08,0.09,15.60,16.45,4.48,652.00,660.55,490.55,81.40,80.00,8.21,11199.00,11522.15,9079.55,89.65,88.34,6.79,83.10,83.91,9.30,58.20,59.16,13.58,10.00,17.30,17.51,44.50,53.00,41.52,8.00,14.20,19.78,1.50,4.65,7.56,30.00,39.45,33.13,2.20,2.45,1.65,3.00,4.40,4.39,0.18,0.24,0.20,24.00,29.45,23.69,12.00,17.80,14.93,19.00,24.45,21.49,9.00,12.05,11.74,14.00,14.80,11.01,2.00,3.75,4.23,11.50,11.05,8.41,8.50,12.25,13.75,976.00,978.90,663.33,26.50,105.05,244.22,155.50,312.70,373.54,388.50,401.70,313.05,232.50,275.30,234.90,32.00,40.20,39.81,18.50,27.45,28.01,43.60,42.55,19.07,41.70,39.46,13.19,533.50,575.55,409.51,1222.50,1565.90,1329.93,18.00,23.65,24.51,4.50,9.05,11.26,15.50,22.35,18.81,8.00,12.15,12.08,632.50,652.85,440.95,39.00,67.35,74.10,16.50,18.70,14.74,15.50,15.15,11.48,1.00,2.00,3.34,15.00,40.05,53.45,61.00,67.70,45.30,15.00,21.40,21.74,19.00,22.50,21.63,47.20,47.32,19.25
Manchester Utd,25.73,25.48,5.09,20.00,17.67,11.45,11.50,12.83,10.78,1071.00,1149.67,931.02,0.00,1.33,2.26,0.00,0.93,2.00,2.00,2.60,2.47,0.00,0.10,0.40,0.70,1.60,2.27,0.35,1.20,1.71,10.00,21.07,31.19,22.00,43.20,55.75,14.50,42.70,64.33,0.00,0.07,0.12,0.00,0.04,0.09,0.06,0.13,0.16,0.06,0.08,0.09,2.65,2.65,1.91,51.15,51.15,25.24,13.65,13.65,19.30,25.00,25.00,N/A,26.80,26.45,16.52,0.18,0.37,0.46,0.02,0.05,0.07,16.05,15.80,5.37,286.00,512.87,464.77,82.60,81.95,7.60,3685.50,8413.77,8136.41,90.90,90.26,4.88,86.55,84.87,8.86,54.85,57.91,18.44,6.00,12.20,17.31,18.00,33.93,39.78,5.00,9.93,14.69,1.00,2.20,2.93,14.50,28.27,35.94,1.83,2.17,1.44,0.50,2.20,3.92,0.01,0.12,0.21,13.00,25.10,27.82,8.50,15.13,17.01,10.00,22.03,24.51,5.00,9.93,12.22,8.00,11.60,11.18,1.00,3.27,4.78,6.00,8.33,8.67,5.00,11.47,12.72,517.00,756.27,662.12,22.50,79.20,182.87,126.50,265.83,314.01,206.00,319.60,307.21,78.00,177.87,219.14,17.00,29.03,37.53,5.50,19.50,25.46,46.90,47.68,28.76,50.00,46.77,27.14,310.00,461.83,401.04,744.50,1155.93,1107.44,9.50,14.80,18.16,1.00,7.00,15.25,9.50,15.70,17.77,4.50,11.07,13.80,385.00,508.00,438.91,14.50,42.70,64.33,9.00,12.53,11.67,7.00,11.30,11.57,0.50,2.07,3.16,6.00,19.03,35.20,31.50,53.10,51.33,8.50,14.63,15.98,10.00,15.17,17.61,50.00,48.27,21.34
Ipswich Town,26.87,27.03,3.13,19.00,18.48,9.04,12.00,13.10,9.74,990.00,1169.97,802.79,0.00,1.10,2.35,0.00,0.86,1.09,2.00,3.03,2.67,0.00,0.17,0.38,0.50,1.04,1.78,0.50,0.73,0.98,9.00,15.14,18.59,22.00,28.28,26.01,14.00,26.93,35.96,0.00,0.08,0.14,0.00,0.07,0.10,0.04,0.08,0.10,0.03,0.06,0.06,2.45,2.32,0.44,58.70,62.10,6.86,5.60,7.43,8.50,0.00,0.00,0.00,22.20,28.19,24.89,0.07,0.28,0.39,0.07,0.07,0.08,16.00,16.57,5.41,241.00,355.76,311.94,76.00,75.20,8.27,4343.00,6364.97,5630.99,87.00,87.24,7.47,84.40,81.88,11.02,50.00,48.47,13.50,4.00,8.38,11.26,20.00,26.93,29.13,4.00,4.93,6.09,0.00,1.45,2.87,13.00,19.52,21.38,1.34,1.51,1.25,1.00,1.93,2.09,0.12,0.15,0.16,12.00,18.55,16.85,8.00,10.62,9.62,11.00,18.86,17.08,6.00,9.90,9.59,8.00,13.52,14.20,2.00,5.93,9.75,6.00,7.59,7.68,6.00,9.66,9.61,477.00,592.48,470.41,28.00,96.45,135.41,140.00,245.31,255.52,168.00,233.69,216.12,104.00,120.10,124.55,11.00,17.76,21.76,7.00,19.03,27.49,46.40,45.09,11.39,42.90,44.50,8.46,232.00,291.41,224.41,604.00,796.79,628.24,7.00,10.21,11.19,1.00,4.41,7.79,11.00,16.93,21.35,4.00,10.66,14.63,290.00,350.97,285.11,14.00,26.93,35.96,9.00,13.59,14.99,8.00,12.34,11.98,0.00,1.52,2.82,6.00,15.21,29.26,40.00,45.03,36.21,7.00,17.24,22.98,15.00,17.24,18.33,50.00,51.78,26.87
Newcastle Utd,27.47,27.96,4.73,27.00,23.22,10.14,14.00,16.74,12.59,1503.00,1502.87,1050.91,0.00,2.78,5.19,1.00,2.09,2.84,2.00,2.61,3.03,0.00,0.04,0.21,0.50,2.63,4.44,0.90,1.88,2.28,14.00,29.83,33.44,59.00,63.17,62.65,22.00,62.70,71.59,0.00,0.16,0.26,0.04,0.10,0.13,0.12,0.14,0.16,0.08,0.10,0.09,1.26,1.26,0.08,70.40,70.40,0.42,39.00,39.00,15.56,50.00,50.00,N/A,25.60,23.60,16.42,0.30,0.38,0.41,0.05,0.08,0.11,15.00,15.64,3.64,479.00,616.87,528.14,81.80,79.71,6.83,6849.00,10418.65,9383.74,88.60,87.73,7.61,86.80,85.30,11.20,52.30,54.26,12.65,8.00,15.83,16.59,26.00,45.61,48.61,8.00,15.48,18.77,0.00,2.83,4.66,32.00,37.13,35.94,1.89,2.06,1.39,3.00,4.83,5.38,0.23,0.22,0.21,22.00,24.43,22.02,15.00,14.96,13.69,27.00,24.00,22.21,9.00,11.61,10.76,17.00,17.13,14.19,3.00,5.65,7.19,9.00,11.48,10.29,6.00,11.04,11.85,773.00,923.65,736.16,26.00,91.74,145.62,122.00,301.74,343.44,232.00,387.83,354.66,133.00,243.13,228.07,33.00,43.00,46.89,8.00,26.96,30.86,45.30,43.07,16.94,46.90,44.98,16.70,498.00,525.52,429.86,1519.00,1429.96,1147.04,14.00,18.43,17.45,4.00,10.74,15.92,11.00,19.13,17.67,8.00,17.96,20.32,567.00,612.30,506.40,22.00,62.70,71.59,9.00,15.83,16.94,11.00,18.22,24.10,2.00,3.09,4.32,10.00,27.52,39.35,49.00,66.52,58.24,7.00,19.30,29.01,14.00,18.43,19.70,50.00,49.52,24.05
Liverpool,26.45,27.21,3.69,28.00,25.19,8.93,20.00,18.33,11.92,1717.00,1643.10,977.50,1.00,3.81,6.49,2.00,2.86,3.99,3.00,3.05,2.27,0.00,0.10,0.30,1.70,3.68,5.51,1.20,2.68,3.18,24.00,35.67,36.52,71.00,83.95,68.40,54.00,83.05,111.01,0.04,0.17,0.23,0.16,0.14,0.13,0.07,0.18,0.21,0.11,0.13,0.11,1.06,1.06,0.20,69.50,69.50,2.69,38.00,38.00,2.83,50.00,50.00,70.71,32.80,31.49,15.16,0.35,0.48,0.44,0.08,0.08,0.07,14.60,15.49,4.03,681.00,807.14,634.18,83.80,82.94,7.55,11124.00,13712.95,11314.64,91.70,91.30,5.92,88.30,86.79,9.57,60.80,60.28,15.25,12.00,22.43,22.81,41.00,69.57,71.31,8.00,19.05,23.24,1.00,3.71,5.96,35.00,50.81,45.63,2.54,2.62,1.51,4.00,6.52,6.63,0.32,0.33,0.24,26.00,28.48,23.93,16.00,17.62,14.67,20.00,28.95,28.31,9.00,13.76,14.32,9.00,15.95,14.80,2.00,4.19,4.72,9.00,11.76,12.88,7.00,13.10,15.95,860.00,1139.43,817.56,32.00,102.33,159.90,187.00,314.62,329.94,307.00,513.48,469.27,218.00,321.24,285.08,44.00,57.38,73.49,19.00,29.29,35.42,49.00,54.80,20.75,44.35,38.22,18.67,550.00,655.00,456.14,1598.00,1773.38,1235.22,19.00,24.29,21.19,6.00,14.05,26.18,19.00,23.05,25.33,11.00,14.95,16.17,606.00,798.24,570.07,54.00,83.05,111.01,16.00,19.05,16.48,12.00,15.67,13.55,1.00,2.62,4.40,6.00,32.10,45.27,66.00,70.71,48.99,9.00,18.10,26.13,12.00,16.29,13.13,42.90,50.22,21.82
Aston Villa,27.74,27.13,4.11,21.00,19.78,10.36,11.00,14.11,11.72,1051.00,1264.67,948.07,1.00,1.89,3.36,0.00,1.48,2.44,2.00,2.52,2.24,0.00,0.07,0.27,0.80,1.91,3.02,0.40,1.40,2.04,16.00,23.85,24.11,34.00,45.33,48.72,17.00,43.81,52.99,0.03,0.16,0.28,0.00,0.07,0.10,0.07,0.18,0.24,0.05,0.08,0.08,1.68,1.68,0.45,61.15,61.15,7.85,58.80,58.80,58.27,50.00,50.00,N/A,27.20,29.07,22.17,0.19,0.44,0.68,0.05,0.07,0.08,16.45,16.78,4.55,479.00,504.85,429.33,82.10,81.61,7.05,6395.00,8667.85,8011.22,91.50,90.19,5.57,86.50,86.80,7.63,54.00,55.17,15.21,5.00,12.07,15.22,24.00,39.33,47.26,7.00,10.56,12.91,0.00,1.85,3.77,18.00,28.70,30.50,1.76,1.98,1.23,2.00,3.44,3.95,0.17,0.22,0.20,11.00,21.81,20.82,6.00,12.52,12.71,11.00,18.67,19.24,6.00,8.19,8.31,11.00,11.19,9.16,3.00,3.74,4.34,6.00,7.44,6.41,5.00,8.33,8.42,674.00,739.78,577.16,32.00,90.11,194.53,136.00,251.44,302.52,259.00,318.00,302.44,117.00,177.63,173.19,20.00,31.59,38.32,17.00,24.37,30.67,47.60,50.41,25.25,39.45,38.13,22.95,419.00,418.70,319.68,1121.00,1207.11,947.35,13.00,14.93,13.33,2.00,6.89,10.67,10.00,17.11,21.98,8.00,13.33,15.43,486.00,494.37,389.08,17.00,43.81,52.99,9.00,14.00,13.58,9.00,16.89,17.99,1.00,1.85,2.92,4.00,19.67,34.85,39.00,47.96,37.03,8.00,12.85,12.20,10.00,14.07,14.12,50.00,41.50,23.73
Wolves,26.86,27.68,3.99,26.00,22.78,8.92,15.00,16.65,10.91,1364.00,1495.22,875.62,1.00,2.17,3.94,1.00,1.70,2.22,2.00,3.22,2.75,0.00,0.09,0.29,0.80,1.76,2.48,0.90,1.40,1.78,12.00,23.57,27.79,31.00,45.91,41.10,28.00,45.26,47.76,0.07,0.12,0.17,0.04,0.10,0.13,0.08,0.11,0.12,0.07,0.08,0.08,2.05,2.05,0.54,61.75,61.75,0.35,12.95,12.95,18.31,16.65,16.65,23.55,28.60,30.59,17.02,0.23,0.35,0.40,0.07,0.10,0.12,18.10,18.05,5.67,484.00,563.57,411.40,80.40,77.84,8.72,9479.00,9615.91,6491.22,90.40,88.33,6.92,86.50,84.84,9.38,56.00,52.45,15.72,10.00,12.39,12.48,26.00,39.26,33.25,4.00,10.83,12.68,1.00,2.78,3.49,21.00,29.52,28.05,1.71,1.78,1.06,3.00,3.91,4.14,0.18,0.25,0.24,21.00,32.09,28.20,13.00,18.91,17.58,19.00,26.83,23.60,8.00,12.22,13.30,16.00,18.04,12.61,4.00,5.87,6.05,10.00,12.17,10.44,9.00,12.09,9.83,756.00,875.83,572.26,59.00,103.43,151.45,304.00,311.09,256.91,329.00,393.65,316.28,124.00,181.74,186.29,23.00,28.30,31.85,14.00,28.39,34.83,45.60,44.14,22.43,41.70,42.95,22.98,390.00,480.61,307.35,1038.00,1328.70,911.07,13.00,17.91,21.83,3.00,5.70,8.69,16.00,23.04,22.74,11.00,14.43,15.29,482.00,559.22,370.76,28.00,45.26,47.76,15.00,19.78,17.50,10.00,16.91,17.09,1.00,2.52,3.31,10.00,21.65,30.69,43.00,65.61,50.69,10.00,17.74,17.53,16.00,19.04,19.67,40.70,46.16,23.20
Nott'ham Forest,26.85,27.12,3.61,31.00,25.24,10.58,20.00,18.10,13.33,1874.00,1628.52,1099.94,1.00,2.52,4.23,1.00,1.81,2.54,3.00,3.81,3.30,0.00,0.05,0.22,1.40,2.00,2.64,1.10,1.42,1.47,13.00,27.33,34.22,36.00,47.38,44.35,20.00,47.57,58.57,0.07,0.12,0.16,0.05,0.08,0.10,0.07,0.12,0.13,0.06,0.08,0.08,1.20,1.20,N/A,74.30,74.30,N/A,37.10,37.10,N/A,0.00,0.00,N/A,34.00,38.47,26.69,0.27,0.43,0.41,0.08,0.08,0.08,18.60,18.61,6.07,472.00,458.05,345.96,75.90,73.60,8.66,6910.00,7849.29,6434.87,87.70,85.99,7.76,81.50,77.50,11.98,45.70,45.38,15.89,12.00,14.62,15.32,29.00,40.90,38.85,9.00,10.33,10.82,1.00,2.67,3.60,29.00,34.48,32.80,1.73,1.87,1.31,2.00,3.90,4.98,0.14,0.20,0.22,21.00,29.86,25.87,13.00,18.14,16.04,20.00,28.76,27.24,8.00,14.33,14.42,11.00,18.95,18.08,4.00,7.05,10.25,9.00,11.90,10.46,12.00,13.86,11.43,1000.00,814.52,570.16,36.00,109.14,180.32,175.00,281.76,294.83,290.00,324.38,269.04,158.00,218.71,209.14,21.00,33.95,32.12,13.00,26.38,28.31,45.35,50.00,24.35,39.45,38.84,21.81,400.00,372.33,275.46,864.00,1145.29,1017.42,11.00,17.14,18.01,3.00,8.29,12.90,19.00,24.81,24.24,10.00,13.86,13.48,510.00,455.76,334.80,20.00,47.57,58.57,12.00,17.43,14.10,10.00,18.14,17.21,1.00,3.95,6.40,5.00,24.86,38.79,50.00,68.52,55.07,14.00,25.14,27.04,20.00,24.24,27.45,44.80,51.00,21.11
Tottenham,25.64,25.66,4.54,22.00,19.33,9.23,16.00,14.22,8.09,1300.00,1277.78,694.57,1.00,2.22,3.25,1.00,1.70,2.38,2.00,2.44,2.33,0.00,0.04,0.19,0.70,2.10,2.91,0.90,1.58,2.02,18.00,29.52,29.12,49.00,56.93,47.13,31.00,56.52,69.30,0.06,0.13,0.19,0.07,0.12,0.15,0.06,0.14,0.17,0.08,0.11,0.11,1.75,1.77,0.36,64.90,63.40,6.48,17.40,18.90,5.51,0.00,0.00,N/A,34.15,32.91,19.26,0.29,0.40,0.40,0.06,0.07,0.08,16.90,16.41,5.07,703.00,581.11,373.35,84.80,80.47,8.38,10567.00,9644.85,6442.94,91.00,89.21,6.90,89.80,84.44,11.12,55.60,54.43,14.82,7.00,13.52,17.69,39.00,45.11,39.49,8.00,13.37,16.64,1.00,3.04,5.12,18.00,31.37,36.52,1.57,1.95,1.51,2.00,3.81,4.60,0.19,0.25,0.25,14.00,22.85,20.78,9.00,14.48,14.00,14.00,20.67,17.76,9.00,10.26,8.60,15.00,15.15,12.25,5.00,5.26,5.23,9.00,9.89,9.33,10.00,10.78,10.82,892.00,847.93,515.95,60.00,86.33,119.40,228.00,275.19,231.31,393.00,358.70,259.82,168.00,222.33,227.99,24.00,35.89,42.51,19.00,28.52,29.71,42.15,44.30,25.46,48.55,42.63,24.18,588.00,528.15,309.81,1526.00,1462.74,859.13,18.00,19.85,17.06,4.00,8.70,12.01,16.00,18.41,18.21,11.00,14.74,16.39,629.00,576.41,339.17,31.00,56.52,69.30,10.00,15.07,13.22,11.00,16.96,15.30,1.00,2.19,3.19,13.00,26.85,42.58,59.00,57.67,41.02,9.00,14.63,14.08,11.00,14.93,14.17,51.40,51.07,23.39
Brentford,24.84,26.20,3.91,28.00,23.52,11.38,21.00,18.33,13.30,1913.00,1638.10,1122.04,0.00,2.90,5.54,2.00,1.95,2.44,2.00,2.52,1.89,0.00,0.05,0.22,0.80,2.61,4.20,1.20,1.90,2.23,12.00,25.86,32.38,52.00,58.29,54.49,27.00,57.57,77.18,0.00,0.12,0.19,0.09,0.10,0.10,0.06,0.12,0.16,0.08,0.10,0.09,1.39,1.39,0.21,61.55,61.55,16.33,58.80,58.80,58.27,0.00,0.00,N/A,34.80,30.89,17.80,0.17,0.32,0.38,0.05,0.08,0.09,15.30,15.93,4.31,489.00,582.24,445.79,77.30,76.69,7.84,7626.00,10679.14,9438.23,87.70,86.80,7.67,79.90,82.29,9.73,55.00,54.84,13.49,9.00,14.52,17.54,42.00,48.10,40.92,7.00,14.00,18.70,2.00,3.90,5.27,21.00,34.10,35.69,1.72,1.87,1.16,2.00,5.00,5.82,0.20,0.28,0.27,25.00,27.52,22.23,17.00,16.52,12.89,26.00,25.48,20.60,11.00,11.86,10.52,17.00,21.19,19.31,4.00,8.71,12.94,13.00,12.48,10.39,8.00,12.76,12.30,804.00,937.05,669.69,52.00,145.57,290.91,232.00,366.48,421.08,348.00,349.05,279.64,160.00,230.05,234.92,24.00,43.00,47.19,13.00,27.33,33.91,46.50,48.76,19.88,42.10,42.09,16.48,410.00,493.67,361.55,1204.00,1371.57,1143.64,11.00,15.95,18.82,1.00,9.19,17.53,14.00,23.29,26.45,8.00,12.57,13.54,497.00,573.52,410.87,27.00,57.57,77.18,12.00,13.33,10.82,10.00,15.05,14.58,1.00,2.95,4.48,14.00,29.52,45.99,50.00,71.00,55.45,12.00,27.52,31.92,14.00,23.95,23.96,55.50,54.89,19.61
Arsenal,26.88,26.50,3.82,23.50,23.27,8.07,16.50,17.50,10.40,1478.50,1564.45,902.98,2.00,2.82,2.81,1.50,2.32,2.75,2.50,2.91,1.97,0.00,0.23,0.53,1.65,2.56,2.64,0.90,1.93,2.19,23.00,35.32,32.70,56.50,77.00,62.44,52.00,75.95,77.49,0.11,0.16,0.16,0.11,0.14,0.15,0.10,0.15,0.14,0.09,0.12,0.12,0.89,0.89,N/A,74.10,74.10,N/A,34.30,34.30,N/A,0.00,0.00,N/A,30.90,27.86,16.68,0.22,0.41,0.41,0.14,0.14,0.13,15.00,14.64,4.97,468.50,717.68,560.34,82.95,82.32,6.27,7398.00,11757.95,9938.89,91.75,90.89,4.67,86.30,84.95,7.86,53.35,55.32,9.76,10.00,17.50,17.78,40.50,58.09,52.92,9.00,18.27,18.49,1.50,3.00,3.63,25.00,39.86,34.14,2.24,2.45,1.40,3.00,5.00,5.60,0.24,0.29,0.30,19.50,24.64,20.73,12.00,14.68,12.64,21.00,21.36,14.86,11.00,10.64,7.58,10.00,13.68,11.17,1.50,4.41,6.84,7.50,9.27,7.89,6.00,9.64,8.87,771.50,1008.95,673.68,25.00,75.82,170.01,125.00,254.45,337.03,296.00,439.00,390.89,225.00,323.09,237.02,38.50,53.77,50.36,23.50,30.59,29.15,44.65,49.27,22.44,36.40,37.40,18.06,427.00,593.27,410.16,1358.00,1677.64,1143.70,19.50,21.95,18.37,4.50,12.14,15.46,15.50,20.14,15.94,13.50,15.86,13.52,552.00,710.86,492.20,52.00,75.95,77.49,14.00,16.95,11.27,17.00,17.05,12.40,2.00,3.55,3.69,11.00,32.18,42.69,49.50,59.68,41.37,10.50,19.91,19.79,15.50,19.36,17.65,51.15,47.83,19.01
Chelsea,24.20,24.02,2.37,23.50,20.58,11.24,13.50,15.46,12.03,1200.50,1390.29,1046.92,1.00,2.42,3.76,1.00,1.83,2.32,3.00,3.88,3.26,0.00,0.04,0.20,0.85,2.74,4.34,1.05,2.07,2.54,15.00,33.38,42.09,34.50,60.12,64.92,15.00,61.38,77.70,0.05,0.15,0.21,0.07,0.14,0.19,0.08,0.16,0.18,0.10,0.16,0.18,1.30,1.30,0.28,73.85,73.85,3.46,22.15,22.15,7.71,10.00,10.00,14.14,33.30,28.76,22.25,0.31,0.47,0.50,0.07,0.08,0.08,15.10,15.41,4.63,525.50,668.04,606.52,84.25,83.54,6.44,7782.00,11577.21,10892.06,91.55,90.77,5.84,90.15,88.08,7.42,57.50,56.83,18.56,8.50,18.00,22.35,27.50,55.88,60.49,6.00,13.67,17.56,0.00,2.96,5.66,16.50,41.62,48.79,2.24,2.44,1.69,2.50,4.29,4.82,0.23,0.26,0.25,12.50,21.75,24.61,9.00,13.67,15.20,12.00,20.25,23.34,6.50,10.25,12.44,9.00,13.33,14.21,1.50,3.92,5.83,6.50,9.42,10.34,7.50,10.29,11.84,821.00,933.75,789.04,20.00,88.54,186.60,126.50,276.75,347.19,267.50,418.42,427.15,127.00,246.62,263.95,14.00,43.71,53.17,14.00,29.88,34.64,45.05,44.49,17.35,40.00,42.06,21.08,485.00,541.54,432.58,1459.00,1563.46,1221.78,11.50,18.58,19.59,1.50,12.50,22.36,9.50,17.54,20.26,6.50,11.46,12.31,586.00,664.50,554.48,15.00,61.38,77.70,10.50,16.33,16.50,11.00,16.92,17.18,1.00,2.54,4.77,3.50,25.54,41.77,44.50,58.88,52.44,9.50,14.29,17.08,8.50,14.46,15.09,38.50,44.90,26.50
